scaffold1	41057	75406	2	2	0	0	1	15
scaffold1	44261	75406	2	2	0	0	1	15
scaffold1	64527	64848	1	1	0	1	0	25
scaffold1	98614	125849	1	1	0	1	0	14
scaffold1	134693	141059	1	1	0	0	1	24
scaffold1	134693	173797	1	1	0	0	1	24
scaffold1	137157	169895	2	2	0	0	1	23
scaffold1	142729	152555	2	2	0	0	1	15
scaffold1	160328	160848	1	1	0	1	0	12
scaffold1	167431	173797	1	1	0	0	1	24
scaffold1	175467	185292	2	2	0	0	1	15
scaffold1	271443	291245	2	2	0	0	1	18
scaffold1	272960	291245	2	2	0	0	1	18
scaffold1	288623	288930	1	3	0	1	0	30
scaffold1	309953	310277	2	2	0	2	0	21
scaffold1	361183	361515	2	2	0	1	0	32
scaffold1	383656	419967	2	2	0	0	1	23
scaffold1	401986	402416	1	1	0	1	0	28
scaffold1	463836	470322	2	2	0	0	3	38
scaffold1	535149	535197	2	2	0	1	0	17
scaffold1	635974	656719	2	2	0	1	0	16
scaffold1	636609	722697	2	2	0	1	1	20
scaffold1	653144	690379	2	2	0	0	1	32
scaffold1	661666	724310	1	1	0	0	2	32
scaffold1	674840	734987	1	1	0	1	1	35
scaffold1	700708	729095	2	4	0	0	1	12
scaffold1	744179	746831	0	0	0	2	1	36
scaffold1	769430	788400	1	1	0	0	1	23
scaffold1	803743	903085	2	2	0	2	0	16
scaffold1	817098	913937	2	4	0	2	0	34
scaffold1	861486	872487	1	1	0	0	1	12
scaffold1	881184	883041	2	2	0	0	1	24
scaffold1	939558	951801	2	2	0	0	1	12
scaffold2	225642	225972	1	3	0	1	0	13
scaffold3	5325	21122	2	2	0	0	1	12
scaffold3	60447	60750	1	1	0	1	0	30
scaffold3	86612	86908	1	1	0	1	0	29
scaffold3	113892	114278	2	4	0	1	0	19
scaffold4	12844	12883	2	2	0	0	1	34
scaffold4	12848	12883	2	2	0	0	1	34
scaffold4	12852	12883	2	2	0	0	1	34
scaffold4	89231	95574	2	2	0	0	1	24
scaffold4	93533	95574	2	2	0	0	1	24
scaffold4	95561	95950	2	2	0	1	0	12
