scaffold1	68669	114888	1	1	0	0	1	14
scaffold1	111841	126386	2	2	0	0	1	15
scaffold1	134693	141059	1	1	0	0	1	24
scaffold1	134693	173797	1	1	0	0	1	24
scaffold1	167431	173797	1	1	0	0	1	24
scaffold1	291275	388265	1	1	0	0	2	29
scaffold1	463836	470322	2	2	0	0	3	38
scaffold1	464581	471626	1	1	0	0	1	34
scaffold1	535149	535197	2	2	0	0	1	17
scaffold1	635974	656719	2	2	0	0	1	16
scaffold1	636609	722697	2	2	0	0	2	20
scaffold1	661666	724310	1	1	0	0	2	32
scaffold1	700865	726888	2	2	0	1	0	32
scaffold1	803743	903085	2	2	0	1	1	16
scaffold1	822031	824300	2	2	0	0	2	31
scaffold1	832490	833644	2	2	0	0	1	13
scaffold1	939558	951801	2	2	0	0	1	12
scaffold2	153774	171982	1	1	0	0	1	17
scaffold2	183576	259514	2	2	0	0	2	17
scaffold2	183712	259514	2	2	0	0	2	17
scaffold2	225642	225972	1	3	0	1	0	26
scaffold2	225846	272576	1	1	0	0	1	14
scaffold3	1650	18174	1	1	0	0	1	12
scaffold3	5325	21122	2	2	0	0	1	12
scaffold3	29347	49769	1	1	0	0	1	23
scaffold3	30720	66747	1	1	0	0	1	26
scaffold3	43669	66747	1	1	0	0	1	26
scaffold3	46234	94061	1	1	0	0	1	30
scaffold3	46377	63348	1	1	0	0	1	24
scaffold3	46383	60901	1	1	0	0	1	18
scaffold3	46383	88021	1	1	0	0	1	18
scaffold3	61343	66747	1	1	0	0	1	26
scaffold3	63290	71498	1	1	0	1	0	32
scaffold3	91716	138945	1	1	0	1	0	26
scaffold3	123641	131556	1	1	0	0	1	12
scaffold3	131834	135843	1	1	0	0	1	33
scaffold3	166384	172334	2	2	0	0	1	19
scaffold3	193819	208896	2	2	0	0	1	21
scaffold4	12844	12883	2	2	0	0	1	34
scaffold4	12848	12883	2	2	0	0	1	34
scaffold4	12852	12883	2	2	0	0	1	34
scaffold4	55005	61584	1	1	0	1	0	32
scaffold4	59818	88651	1	1	0	0	1	31
scaffold4	64602	72452	2	2	0	0	1	14
scaffold4	80921	100386	1	1	0	0	1	14
scaffold4	95561	95950	2	2	0	1	0	12
scaffold10	5818	6132	1	1	0	1	0	12
